,M1,M2,M4,M3,M5
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,"(1918, 509)","(1907, 664)",,,
29,"(1902, 511)","(1888, 667)","(1745, 993)",,
30,"(1879, 514)","(1867, 669)","(1713, 987)",,
31,,,,,
32,"(1840, 519)","(1825, 673)","(1719, 985)","(1757, 831)","(1685, 997)"
33,,,,,
34,"(1799, 518)","(1784, 673)","(1716, 991)","(1722, 831)","(1679, 1003)"
35,"(1772, 518)",,"(1712, 988)","(1714, 833)","(1679, 1003)"
36,"(1754, 515)",,"(1713, 989)","(1703, 834)","(1679, 1003)"
37,,,"(1711, 989)","(1695, 835)","(1677, 1004)"
38,"(1709, 512)",,"(1711, 989)","(1690, 836)","(1678, 1003)"
39,,"(1691, 665)","(1709, 988)","(1685, 837)","(1677, 1004)"
40,,"(1673, 666)","(1710, 987)","(1680, 837)","(1678, 1003)"
41,"(1637, 514)","(1655, 668)","(1709, 985)","(1666, 840)","(1677, 1003)"
42,"(1614, 516)","(1631, 670)","(1708, 984)","(1654, 840)","(1681, 1002)"
43,"(1589, 520)","(1611, 673)","(1703, 976)","(1640, 839)","(1677, 1002)"
44,"(1567, 520)","(1589, 673)","(1675, 999)",,
45,"(1547, 517)","(1557, 674)","(1689, 955)",,"(1667, 993)"
46,"(1524, 514)","(1533, 673)","(1655, 937)",,"(1644, 986)"
47,"(1509, 513)","(1509, 671)","(1615, 929)",,"(1603, 974)"
48,"(1486, 510)","(1495, 669)","(1568, 933)",,"(1531, 983)"
49,,,,,
50,,,,,
51,"(1434, 507)","(1420, 663)",,"(1356, 824)","(1364, 1001)"
52,"(1411, 510)","(1406, 665)","(1267, 999)","(1333, 829)",
53,"(1390, 514)","(1381, 669)","(1226, 991)","(1315, 833)",
54,,,,,
55,,,,,
56,"(1323, 518)","(1306, 673)","(1218, 991)","(1234, 837)","(1182, 1005)"
57,"(1296, 518)","(1282, 673)","(1212, 993)","(1219, 835)","(1179, 1007)"
58,"(1275, 518)","(1264, 674)","(1211, 993)","(1208, 838)","(1179, 1007)"
59,"(1250, 518)","(1241, 673)","(1211, 993)","(1198, 839)","(1178, 1007)"
60,"(1225, 513)",,"(1213, 993)","(1191, 840)","(1179, 1007)"
61,"(1205, 511)",,"(1210, 993)","(1185, 840)","(1179, 1007)"
62,"(1176, 510)","(1187, 666)","(1211, 992)","(1179, 840)","(1179, 1007)"
63,"(1158, 511)","(1161, 668)","(1210, 992)","(1172, 841)","(1178, 1008)"
